rider,course,distance_m,power_w
male_tt,Tokyo,4965,449
male_tt,Tokyo,5055,449
male_tt,Tokyo,5145,449
male_tt,Tokyo,5235,449
male_tt,Tokyo,5325,449
male_tt,Tokyo,5415,449
male_tt,Tokyo,5505,449
male_tt,Tokyo,5595,449
male_tt,Tokyo,5680,449
male_tt,Tokyo,5761,449
male_tt,Tokyo,5839,449
male_tt,Tokyo,5914,449
male_tt,Tokyo,5987,449
male_tt,Tokyo,6060,449
male_tt,Tokyo,6132,449
male_tt,Tokyo,6202,408
male_tt,Tokyo,6267,408
male_tt,Tokyo,6328,408
male_tt,Tokyo,6385,408
male_tt,Tokyo,6441,408
male_tt,Tokyo,6495,408
male_tt,Tokyo,6548,408
male_tt,Tokyo,6601,408
male_tt,Tokyo,6654,408
male_tt,Tokyo,6706,408
male_tt,Tokyo,6758,408
male_tt,Tokyo,6810,408
male_tt,Tokyo,6862,408
male_tt,Tokyo,6914,408
male_tt,Tokyo,6966,408
male_tt,Tokyo,7018,408
male_tt,Tokyo,7069,408
male_tt,Tokyo,7121,408
male_tt,Tokyo,7173,408
male_tt,Tokyo,7225,408
male_tt,Tokyo,7277,408
male_tt,Tokyo,7329,417
male_tt,Tokyo,7380,417
male_tt,Tokyo,7430,417
male_tt,Tokyo,7480,417
male_tt,Tokyo,7529,417
male_tt,Tokyo,7579,417
male_tt,Tokyo,7628,417
male_tt,Tokyo,7677,417
male_tt,Tokyo,7727,417
male_tt,Tokyo,7776,417
male_tt,Tokyo,7825,417
male_tt,Tokyo,7874,417
male_tt,Tokyo,7923,417
male_tt,Tokyo,7972,417
male_tt,Tokyo,8021,417
male_tt,Tokyo,8070,417
male_tt,Tokyo,8119,417
male_tt,Tokyo,8168,417
male_tt,Tokyo,8218,417
male_tt,Tokyo,8267,417
male_tt,Tokyo,8316,417
male_tt,Tokyo,8365,417
male_tt,Tokyo,8414,417
male_tt,Tokyo,8463,459
male_tt,Tokyo,8508,459
male_tt,Tokyo,8551,459
male_tt,Tokyo,8592,459
male_tt,Tokyo,8632,459
male_tt,Tokyo,8672,459
male_tt,Tokyo,8711,459
male_tt,Tokyo,8751,459
male_tt,Tokyo,8790,459
male_tt,Tokyo,8829,459
male_tt,Tokyo,8868,459
male_tt,Tokyo,8907,459
male_tt,Tokyo,8946,459
male_tt,Tokyo,8985,459
male_tt,Tokyo,9025,459
male_tt,Tokyo,9064,459
male_tt,Tokyo,9103,459
male_tt,Tokyo,9142,459
male_tt,Tokyo,9181,459
male_tt,Tokyo,9220,459
male_tt,Tokyo,9259,459
male_tt,Tokyo,9299,459
male_tt,Tokyo,9338,459
male_tt,Tokyo,9377,459
male_tt,Tokyo,9416,459
male_tt,Tokyo,9455,459
male_tt,Tokyo,9494,445
male_tt,Tokyo,9534,445
male_tt,Tokyo,9574,445
male_tt,Tokyo,9615,445
male_tt,Tokyo,9655,445
male_tt,Tokyo,9696,445
male_tt,Tokyo,9736,445
male_tt,Tokyo,9777,445
male_tt,Tokyo,9818,445
male_tt,Tokyo,9858,445
male_tt,Tokyo,9899,445
male_tt,Tokyo,9940,445
male_tt,Tokyo,9980,445
male_tt,Tokyo,10021,445
male_tt,Tokyo,10062,445
male_tt,Tokyo,10102,445
male_tt,Tokyo,10143,445
male_tt,Tokyo,10183,445
male_tt,Tokyo,10224,445
male_tt,Tokyo,10265,445
male_tt,Tokyo,10305,445
male_tt,Tokyo,10346,445
male_tt,Tokyo,10387,445
male_tt,Tokyo,10427,445
male_tt,Tokyo,10468,445
male_tt,Tokyo,10508,475
male_tt,Tokyo,10543,473
male_tt,Tokyo,10575,471
male_tt,Tokyo,10605,469
male_tt,Tokyo,10634,468
male_tt,Tokyo,10663,466
male_tt,Tokyo,10692,464
male_tt,Tokyo,10721,463
male_tt,Tokyo,10750,461
male_tt,Tokyo,10779,460
male_tt,Tokyo,10807,459
male_tt,Tokyo,10836,457
male_tt,Tokyo,10865,456
male_tt,Tokyo,10893,455
male_tt,Tokyo,10921,454
male_tt,Tokyo,10950,453
male_tt,Tokyo,10984,449
male_tt,Tokyo,11030,449
male_tt,Tokyo,11081,449
male_tt,Tokyo,11136,449
male_tt,Tokyo,11192,448
